Name,GeographyType,Year,ResidentPopulation,PercentChangeInResidentPopulation,ResidentPopulationDensity,ResidentPopulationDensityRank,NumberOfRepresentatives,ChangeInNumberOfRepresentatives,AverageApportionmentPopulationPerRepresentative
Oregon,State,2000,"3,421,399",20.4,35.6,41,5,0,"685,709"
Pennsylvania,State,2000,"12,281,054",3.4,274.5,12,19,-2,"647,404"
Puerto Rico,State,2000,"3,808,610",8.1,"1,112.40",3,,,
Rhode Island,State,2000,"1,048,319",4.5,"1,014.00",4,2,0,"524,831"
South Carolina,State,2000,"4,012,012",15.1,133.5,23,6,0,"670,844"
South Dakota,State,2000,"754,844",8.5,10,48,1,0,"756,874"
Tennessee,State,2000,"5,689,283",16.7,138,21,9,0,"633,337"
Texas,State,2000,"20,851,820",22.8,79.8,30,32,2,"653,250"
Utah,State,2000,"2,233,169",29.6,27.2,43,3,0,"745,571"
Vermont,State,2000,"608,827",8.2,66.1,32,1,0,"609,890"
Virginia,State,2000,"7,078,515",14.4,179.2,16,11,0,"645,518"
Washington,State,2000,"5,894,121",21.1,88.7,27,9,0,"656,520"
West Virginia,State,2000,"1,808,344",0.8,75.2,31,3,0,"604,359"
Wisconsin,State,2000,"5,363,675",9.6,99,26,8,-1,"671,401"
Wyoming,State,2000,"493,782",8.9,5.1,51,1,0,"495,304"
Midwest Region,Region,2000,"64,392,776",7.9,,,,,
Northeast Region,Region,2000,"53,594,378",5.5,,,,,
South Region,Region,2000,"100,236,820",17.3,,,,,
West Region,Region,2000,"63,197,932",19.7,,,,,
United States,Nation,2000,"281,421,906",13.2,79.7,,435,12,"646,952"
Alabama,State,2010,"4,779,736",7.5,94.4,29,7,0,"686,140"
Alaska,State,2010,"710,231",13.3,1.2,52,1,0,"721,523"
Arizona,State,2010,"6,392,017",24.6,56.3,35,9,1,"712,522"
Arkansas,State,2010,"2,915,918",9.1,56,36,4,0,"731,557"
California,State,2010,"37,253,956",10,239.1,13,53,0,"704,566"
Colorado,State,2010,"5,029,196",16.9,48.5,39,7,0,"720,704"
Connecticut,State,2010,"3,574,097",4.9,738.1,6,5,0,"716,326"
Delaware,State,2010,"897,934",14.6,460.8,8,1,0,"900,877"
District of Columbia,State,2010,"601,723",5.2,"9,856.50",1,,,
Florida,State,2010,"18,801,310",17.6,350.6,10,27,2,"700,029"
Georgia,State,2010,"9,687,653",18.3,168.4,20,14,1,"694,826"
Hawaii,State,2010,"1,360,301",12.3,211.8,15,2,0,"683,431"
Idaho,State,2010,"1,567,582",21.1,19,46,2,0,"786,750"
Illinois,State,2010,"12,830,632",3.3,231.1,14,18,-1,"714,688"
Indiana,State,2010,"6,483,802",6.6,181,18,9,0,"722,398"
Iowa,State,2010,"3,046,355",4.1,54.5,38,4,-1,"763,447"
Kansas,State,2010,"2,853,118",6.1,34.9,42,4,0,"715,953"
Kentucky,State,2010,"4,339,367",7.4,109.9,24,6,0,"725,101"
Louisiana,State,2010,"4,533,372",1.4,104.9,26,6,-1,"758,994"
Maine,State,2010,"1,328,361",4.2,43.1,40,2,0,"666,537"
Maryland,State,2010,"5,773,552",9,594.8,7,8,0,"723,741"
Massachusetts,State,2010,"6,547,629",3.1,839.4,5,9,-1,"728,849"
Michigan,State,2010,"9,883,640",-0.6,174.8,19,14,-1,"707,973"
Minnesota,State,2010,"5,303,925",7.8,66.6,33,8,0,"664,360"
Mississippi,State,2010,"2,967,297",4.3,63.2,34,4,0,"744,560"
Missouri,State,2010,"5,988,927",7,87.1,30,8,-1,"751,435"
Montana,State,2010,"989,415",9.7,6.8,50,1,0,"994,416"
Nebraska,State,2010,"1,826,341",6.7,23.8,45,3,0,"610,608"
Nevada,State,2010,"2,700,551",35.1,24.6,44,4,1,"677,358"
New Hampshire,State,2010,"1,316,470",6.5,147,23,2,0,"660,723"
New Jersey,State,2010,"8,791,894",4.5,"1,195.50",2,12,-1,"733,958"
New Mexico,State,2010,"2,059,179",13.2,17,47,3,0,"689,091"
New York,State,2010,"19,378,102",2.1,411.2,9,27,-2,"719,298"
North Carolina,State,2010,"9,535,483",18.5,196.1,17,13,0,"735,829"
North Dakota,State,2010,"672,591",4.7,9.7,49,1,0,"675,905"
Ohio,State,2010,"11,536,504",1.6,282.3,12,16,-2,"723,031"
Oklahoma,State,2010,"3,751,351",8.7,54.7,37,5,0,"752,976"
Oregon,State,2010,"3,831,074",12,39.9,41,5,0,"769,721"
Pennsylvania,State,2010,"12,702,379",3.4,283.9,11,18,-1,"707,495"
Puerto Rico,State,2010,"3,725,789",-2.2,"1,088.20",3,,,
Rhode Island,State,2010,"1,052,567",0.4,"1,018.10",4,2,0,"527,624"
South Carolina,State,2010,"4,625,364",15.3,153.9,22,7,1,"663,711"
South Dakota,State,2010,"814,180",7.9,10.7,48,1,0,"819,761"
Tennessee,State,2010,"6,346,105",11.5,153.9,21,9,0,"708,381"
Texas,State,2010,"25,145,561",20.6,96.3,28,36,4,"701,901"
Utah,State,2010,"2,763,885",23.8,33.6,43,4,1,"692,691"
Vermont,State,2010,"625,741",2.8,67.9,32,1,0,"630,337"
Virginia,State,2010,"8,001,024",13,202.6,16,11,0,"730,703"
Washington,State,2010,"6,724,540",14.1,101.2,27,10,1,"675,337"
West Virginia,State,2010,"1,852,994",2.5,77.1,31,3,0,"619,938"
Wisconsin,State,2010,"5,686,986",6,105,25,8,0,"712,279"
Wyoming,State,2010,"563,626",14.1,5.8,51,1,0,"568,300"
Midwest Region,Region,2010,"66,927,001",3.9,,,,,
Northeast Region,Region,2010,"55,317,240",3.2,,,,,
South Region,Region,2010,"114,555,744",14.3,,,,,
West Region,Region,2010,"71,945,553",13.8,,,,,
United States,Nation,2010,"308,745,538",9.7,87.4,,435,12,"710,767"
Alabama,State,2020,"5,024,279",5.1,99.2,29,7,0,"718,579"
Alaska,State,2020,"733,391",3.3,1.3,52,1,0,"736,081"
Arizona,State,2020,"7,151,502",11.9,62.9,35,9,0,"795,436"
Arkansas,State,2020,"3,011,524",3.3,57.9,36,4,0,"753,439"
California,State,2020,"39,538,223",6.1,253.7,13,52,-1,"761,091"
Colorado,State,2020,"5,773,714",14.8,55.7,39,8,1,"722,771"
Connecticut,State,2020,"3,605,944",0.9,744.7,6,5,0,"721,660"
Delaware,State,2020,"989,948",10.2,508,8,1,0,"990,837"
District of Columbia,State,2020,"689,545",14.6,"11,280.00",1,,,
Florida,State,2020,"21,538,187",14.6,401.4,10,28,1,"770,376"
Georgia,State,2020,"10,711,908",10.6,185.6,19,14,0,"766,091"
Hawaii,State,2020,"1,455,271",7,226.6,15,2,0,"730,069"
Idaho,State,2020,"1,839,106",17.3,22.3,46,2,0,"920,689"
Illinois,State,2020,"12,812,508",-0.1,230.8,14,17,-1,"754,279"
Indiana,State,2020,"6,785,528",4.7,189.4,18,9,0,"754,476"
Iowa,State,2020,"3,190,369",4.7,57.1,38,4,0,"798,102"
Kansas,State,2020,"2,937,880",3,35.9,43,4,0,"735,216"
Kentucky,State,2020,"4,505,836",3.8,114.1,25,6,0,"751,557"
Louisiana,State,2020,"4,657,757",2.7,107.8,28,6,0,"776,911"
Maine,State,2020,"1,362,359",2.6,44.2,40,2,0,"681,791"
Maryland,State,2020,"6,177,224",7,636.1,7,8,0,"773,160"
Massachusetts,State,2020,"7,029,917",7.4,901.2,5,9,0,"781,497"
Michigan,State,2020,"10,077,331",2,178,20,13,-1,"775,726"
Minnesota,State,2020,"5,706,494",7.6,71.7,32,8,0,"713,719"
Mississippi,State,2020,"2,961,279",-0.2,63.1,34,4,0,"740,979"
Missouri,State,2020,"6,154,913",2.8,89.5,30,8,0,"770,035"
Montana,State,2020,"1,084,225",9.6,7.4,50,2,1,"542,704"
Nebraska,State,2020,"1,961,504",7.4,25.5,45,3,0,"654,444"
Nevada,State,2020,"3,104,614",15,28.3,44,4,0,"777,116"
New Hampshire,State,2020,"1,377,529",4.6,153.8,23,2,0,"689,545"
New Jersey,State,2020,"9,288,994",5.7,"1,263.00",2,12,0,"774,541"
New Mexico,State,2020,"2,117,522",2.8,17.5,47,3,0,"706,740"
New York,State,2020,"20,201,249",4.2,428.7,9,26,-1,"777,529"
North Carolina,State,2020,"10,439,388",9.5,214.7,17,14,1,"746,711"
North Dakota,State,2020,"779,094",15.8,11.3,49,1,0,"779,702"
Ohio,State,2020,"11,799,448",2.3,288.8,12,15,-1,"787,257"
Oklahoma,State,2020,"3,959,353",5.5,57.7,37,5,0,"792,703"
Oregon,State,2020,"4,237,256",10.6,44.1,41,6,1,"706,917"
Pennsylvania,State,2020,"13,002,700",2.4,290.6,11,17,-1,"765,403"
Puerto Rico,State,2020,"3,285,874",-11.8,959.6,4,,,
Rhode Island,State,2020,"1,097,379",4.3,"1,061.40",3,2,0,"549,082"
South Carolina,State,2020,"5,118,425",10.7,170.2,21,7,0,"732,102"
South Dakota,State,2020,"886,667",8.9,11.7,48,1,0,"887,770"
Tennessee,State,2020,"6,910,840",8.9,167.6,22,9,0,"768,544"
Texas,State,2020,"29,145,505",15.9,111.6,26,38,2,"767,981"
Utah,State,2020,"3,271,616",18.4,39.7,42,4,0,"818,813"
Vermont,State,2020,"643,077",2.8,69.8,33,1,0,"643,503"
Virginia,State,2020,"8,631,393",7.9,218.6,16,11,0,"786,777"
Washington,State,2020,"7,705,281",14.6,115.9,24,10,0,"771,595"
West Virginia,State,2020,"1,793,716",-3.2,74.6,31,2,-1,"897,523"
Wisconsin,State,2020,"5,893,718",3.6,108.8,27,8,0,"737,184"
Wyoming,State,2020,"576,851",2.3,5.9,51,1,0,"577,719"
Midwest Region,Region,2020,"68,985,454",3.1,,,,,
Northeast Region,Region,2020,"57,609,148",4.1,,,,,
South Region,Region,2020,"126,266,107",10.2,,,,,
West Region,Region,2020,"78,588,572",9.2,,,,,
United States,Nation,2020,"331,449,281",7.4,93.8,,435,7,"761,169"
